pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,29.599999999999998,0.0,0,0,13,10,0.0,0.0,0
1162960.3561241324,12.4,0.0,0,0,13,10,967392.9539038251,245697.59790895338,1
1204065.0368892276,5.2,-7.905573638681429,0,0,13,10,1535548.769807465,726957.400429671,2
1086868.563812851,5.2,-8.805207346885036,0,0,13,10,2093393.5660809972,843088.3495585063,3
1006899.0694604029,5.2,-4.837492989235848,0,0,13,10,2419117.468767927,925833.4584652784,4
994527.0100200148,6.4,-3.0142331417434387,0,0,13,10,3029855.4550601537,960531.7528757877,5
903648.6379345285,7.6,-1.9808769680755733,0,0,13,10,3486336.3347434783,994195.767664288,6
811134.0858880953,8.799999999999999,0.6978065667799793,0,0,12,10,3903402.6731936396,1010489.8116367214,7
727354.4132592365,9.2,2.6652689857599388,0,0,12,10,4411422.707501354,1039774.7103583867,8
629705.8093653669,4.3999999999999995,2.610634323683403,0,0,12,10,4951425.01197572,1067392.913197617,9
586247.2668810053,5.6000000000000005,7.692125786844395,0,0,12,10,5300199.6580911875,1095690.1676737387,10
552024.2749380334,6.4,8.655897085069686,0,0,11,10,5359859.587088606,1128570.497618364,11
511121.16388877574,7.6,7.941929568318784,0,0,11,10,5264510.429246633,1128570.497618364,12
488462.91603718617,9.6,11.222280080990043,0,0,11,10,5171261.983346437,1128570.497618364,13
477548.1001056823,10.0,12.45632009577584,0,0,11,10,5102136.429310464,1137446.137213489,14
451281.7779077696,6.0,10.871301638528962,0,0,10,10,5153189.495284415,1159631.4162431094,15
426497.09639845544,7.199999999999999,13.657938619825094,0,0,9,10,4996733.823712057,1170844.8758012082,16
401980.51294806605,7.199999999999999,14.618933892009768,0,0,9,10,5005100.722970017,1186598.5868068386,17
388470.3464996432,8.4,13.199992154273232,0,0,9,10,4958804.645516176,1204660.431781537,18
375043.92455931177,8.799999999999999,15.924257883189586,0,0,8,10,4934434.092393687,1220501.3319186412,19
366208.3897901269,8.799999999999999,16.537637310576404,0,0,8,10,4830178.806187938,1261772.4250727503,20
357346.08420027123,6.800000000000001,14.288513286755755,0,0,8,10,4870306.0932861455,1261071.8620039327,21
350317.1155451507,7.6,17.447041019960597,0,0,8,10,4763337.710735875,1273361.792174358,22
349243.3398420303,8.0,17.84169079328384,0,0,8,10,4727325.93234474,1280271.8166887313,23
348232.7891769727,8.799999999999999,15.480513355675685,0,0,8,10,4627299.234985977,1281771.5649962125,24
348516.29246121587,9.6,18.40286694856992,0,0,8,55,4589553.421692557,1287827.3298787316,25
349730.6072002812,7.199999999999999,18.649877727980368,0,0,8,55,4468326.454670575,1311695.3717110725,26
348535.6441266084,8.4,16.1178763416852,0,0,8,55,4473917.764917781,1329339.2763783792,27
351062.0575954768,8.799999999999999,19.034488686906602,0,0,8,55,4434838.030141661,1357576.0931644393,28
355676.82195496786,8.799999999999999,19.20883465771821,0,0,8,55,4424923.421119373,1356969.5510938922,29
360838.643323269,8.799999999999999,17.161806491509914,0,0,8,55,4364158.508938607,1366174.9854767704,30
363066.1984162042,8.799999999999999,19.46765268463242,0,0,8,55,4323373.582536008,1373891.494842356,31
369316.32400728075,8.799999999999999,19.584230666179803,0,0,8,55,4226486.0312546035,1383458.6989781472,32
374858.27279053564,8.799999999999999,17.57963005227099,0,0,8,55,4219530.761775683,1379407.191317111,33
381338.58121412544,8.799999999999999,19.770195441583137,0,0,8,55,4207979.005422383,1371000.8917272536,34
381977.83515724353,8.799999999999999,19.852117461681097,0,0,8,55,4174045.3577284,1363278.7428658481,35
389566.70700949925,8.799999999999999,17.75831522682678,0,0,8,55,4108242.1316433307,1359791.8057588607,36
396356.19735270995,8.799999999999999,19.98494127418713,0,0,8,55,4123212.1649827,1359791.8057588607,37
403543.8548930562,8.799999999999999,20.044810145474212,0,0,8,55,4069664.210728533,1370573.2938700456,38
410111.58397059556,8.799999999999999,18.01250882457046,0,0,8,55,4064967.6565144625,1374122.5428423665,39
416472.27887058427,8.799999999999999,20.147882436457532,0,0,8,55,4057460.420822577,1407160.0363153515,40
423006.37333657313,8.799999999999999,20.195999352437923,0,0,8,55,4034731.7424782836,1416116.114044141,41
431217.7932852421,8.799999999999999,18.117815462675434,0,0,8,55,3974418.498857295,1425735.581811031,42
438167.4603229379,8.799999999999999,20.27786495664261,0,0,8,55,3972441.8467007806,1425735.581811031,43
446039.4093758797,8.799999999999999,20.3165855421209,0,0,8,55,3960032.316482852,1425735.581811031,44
449548.4656157625,8.799999999999999,18.317571922727428,0,0,8,55,3959333.700313964,1425735.581811031,45
457291.0523868479,8.799999999999999,20.386641053141787,0,0,8,55,3938914.5878255973,1443316.7245712876,46
466423.5453345115,8.799999999999999,20.420418922169347,0,0,8,55,3916645.1826662743,1443316.7245712876,47
474638.10001522175,8.799999999999999,18.337237611715086,0,0,8,55,3870284.875124804,1452000.6943459911,48
481645.20924231794,8.799999999999999,20.483603069744127,0,0,8,55,3889438.7135038325,1452000.6943459911,49
