pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,24.0,0.0,0,0,13,10,0.0,0.0,0
1208075.7527567209,7.199999999999999,0.0,0,0,13,10,957452.6458617962,314734.96107745403,1
1163346.097165904,7.199999999999999,-10.595389606231631,0,0,13,10,1525888.7080313812,740790.861019374,2
1077853.431767017,7.199999999999999,-12.323733877527642,0,0,13,10,1991707.4019411744,888273.0696066512,3
971536.3008001593,7.199999999999999,-8.945375859790595,0,0,13,10,2350469.616044992,964033.4312149254,4
878448.4295739584,8.0,-7.904629816478003,0,0,13,10,2918928.6090574833,983854.7194220233,5
800878.5455744547,9.6,-9.21768294939852,0,0,13,10,3326803.7831475567,1005819.9494788712,6
717511.8849125945,2.4,-5.742749119197265,0,0,13,10,3760006.8496417766,1022322.16190337,7
665097.1893637317,4.3999999999999995,-4.544119828623849,0,0,13,10,4278679.153205245,1071080.552619163,8
587120.6886517302,5.6000000000000005,-5.374747921142708,0,0,13,10,4751520.716554511,1081860.7959487026,9
540891.5317740253,8.4,-1.9877904922395828,0,0,13,10,4630148.2346299365,1081860.7959487026,10
504235.0456349707,9.6,-0.5320275893875737,0,0,13,10,4693964.306252779,1086806.2105636874,11
449381.63819476345,10.0,-0.5474623575463022,0,0,13,10,4662287.20730705,1103407.1201950442,12
426341.10986028315,4.8,2.3892697663474793,0,0,12,10,4586614.627169448,1124300.6674531095,13
393848.8817547911,5.2,3.4123775064013984,0,0,12,10,4596703.79164839,1151013.958954899,14
372426.13941288664,7.199999999999999,2.8144456540124985,0,0,12,10,4628013.994608444,1152867.7107263678,15
350082.81618539494,8.4,4.723732073862252,0,0,11,10,4547209.184352342,1144277.1999433571,16
339823.5535876752,10.0,6.940743376709024,0,0,11,10,4554640.36045829,1164092.0156328534,17
305194.8728479104,7.199999999999999,6.256110488641409,0,0,10,10,4525202.973333559,1164422.4227322624,18
297462.6029826501,8.799999999999999,9.387515245926359,0,0,10,10,4504372.143235711,1188310.1802005668,19
286651.6958082313,10.0,10.847665965613395,0,0,10,10,4464691.044863509,1189968.0342422342,20
280863.76290108444,8.0,10.263753686110878,0,0,10,10,4449996.290596307,1189951.6868387156,21
261150.46450294086,10.0,13.656099761839968,0,0,9,10,4364168.268132766,1204265.4656291334,22
261528.28940170904,8.0,15.275547177065295,0,0,9,10,4377557.57333059,1217278.2676911708,23
262724.783357589,8.4,14.1509909564423,0,0,9,10,4317496.0544664245,1245409.9409360907,24
266686.1862844218,8.799999999999999,18.02729956597451,0,0,9,55,4280679.897755535,1241172.8758296985,25
272017.5778092338,8.799999999999999,19.429690200708638,0,0,8,55,4208014.694610269,1257003.6811980868,26
278043.0098293641,8.799999999999999,18.80794778286814,0,0,8,55,4194638.383525347,1258102.0003535415,27
284495.15516909154,8.799999999999999,21.903763133931207,0,0,8,55,4138147.3426694716,1250910.7258058307,28
292643.19419002463,8.799999999999999,23.080807048325692,0,0,8,55,4138787.0911348625,1260369.6095878799,29
301280.63278653903,8.799999999999999,22.23758019442885,0,0,8,55,4078378.9841540447,1274061.4263133574,30
309484.73646712303,8.799999999999999,25.009793401956347,0,0,8,55,4057122.972652349,1285466.0056462116,31
318643.6776380954,8.799999999999999,25.866078525824832,0,0,8,55,4006768.6132783615,1281923.8306280982,32
327787.3642896485,8.799999999999999,24.807125521671637,0,0,8,55,4023742.9302578573,1287793.9746947691,33
335361.1886841702,8.799999999999999,27.277494861212006,0,0,8,55,4011064.9680928183,1309467.4810819696,34
345730.1292468019,8.799999999999999,27.879630080213722,0,0,8,55,3988059.033945085,1312776.7834899987,35
355965.32125818066,8.799999999999999,26.678357206216717,0,0,8,55,3867176.0961166467,1331816.479210297,36
365627.8304613318,8.799999999999999,28.849904432354577,0,0,8,55,3872238.695019413,1331816.479210297,37
375937.4939644201,8.799999999999999,29.259981623622423,0,0,8,55,3874119.475765171,1331816.479210297,38
386405.50714544655,8.799999999999999,28.02040167535862,0,0,8,55,3882724.489014844,1331816.479210297,39
396486.89735885256,8.799999999999999,29.93183017453347,0,0,8,55,3851042.416663996,1350245.376868951,40
406682.5702439903,8.799999999999999,30.212385820073926,0,0,8,55,3812402.4657946476,1350245.376868951,41
416693.29983542545,8.799999999999999,28.893485301045718,0,0,8,55,3762469.861565999,1350245.376868951,42
426360.1006750317,8.799999999999999,30.681834029960562,0,0,8,55,3819217.024902785,1360007.671662491,43
436330.9945258458,8.799999999999999,30.880511503251242,0,0,8,55,3838392.84846868,1360007.671662491,44
443754.02968764387,8.799999999999999,29.513823951069785,0,0,8,55,3773747.5737352665,1360007.671662491,45
450331.83451420575,8.799999999999999,31.21828720158979,0,0,8,55,3744806.356690724,1371218.8491272423,46
456532.85333223647,8.799999999999999,31.36425464448869,0,0,8,55,3718280.6757112183,1374681.4111342581,47
462153.2235619066,8.799999999999999,29.928528874136195,0,0,8,55,3711673.442397588,1380794.9154066385,48
467324.3688389834,8.799999999999999,31.61712425884766,0,0,8,55,3760357.1752587724,1384739.077475721,49
