pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,29.2,0.0,0,0,13,10,0.0,0,0
961.87,19.2,0.0,0,0,13,10,934493.5258872159,0,1
1573.75,19.2,56.479951245937144,0,0,13,10,1264524.5532443938,0,2
617.32,19.2,0.0,0,0,13,10,1742516.05834933,0,3
430.79,19.2,0.0,0,0,13,10,2112957.3829139443,0,4
930.39,19.6,0.0,0,0,13,10,2569199.6076390664,0,5
968.88,19.2,0.0,0,0,15,10,2689838.0431899056,0,6
1728.13,19.2,0.0,0,0,15,10,2878265.481768777,0,7
351.07,19.2,0.0,0,0,13,10,3281039.8131488473,0,8
351.15000000000003,19.2,0.0,0,0,13,10,3733178.7680134038,0,9
400.92,19.2,0.0,0,0,13,10,3746640.3412547824,0,10
306.44074975558533,19.2,0.0,0,0,13,10,3849832.271772092,0,11
272.79,19.2,0.0,0,0,12,10,3833622.599390328,0,12
238.79,19.2,0.0,0,0,12,10,3930340.909756203,0,13
232.78,19.2,0.0,0,0,12,10,3914730.093347988,0,14
393.81765039493894,19.2,0.0,0,0,12,10,4016377.517973519,0,15
407.34,19.2,0.0,0,0,12,10,4016247.7596824,0,16
193.87,19.2,0.0,0,0,12,10,4070936.2088608155,0,17
224.31,19.2,0.0,0,0,12,10,4078120.963413708,0,18
207.36744254103223,19.2,0.0,0,0,12,10,4104225.196842488,0,19
185.3772127051612,19.2,0.0,0,0,12,10,4130510.520911316,0,20
210.05977016412896,19.2,0.0,0,0,12,10,4149924.744757862,0,21
291.54465524619343,19.2,0.0,0,0,10,10,4198374.919123288,0,22
211.07488508206447,19.2,0.0,0,0,10,10,4175911.0503023593,0,23
197.83465524619345,19.2,0.0,0,0,10,10,4241262.305151314,0,24
243.28,19.2,0.0,0,0,10,55,4198885.774518701,0,25
227.37977016412896,19.2,0.0,0,0,10,55,4261511.780107578,0,26
215.55209778722568,19.2,0.0,0,0,10,55,4255972.034320883,0,27
180.3872127051612,19.2,0.0,0,0,10,55,4290542.766552869,0,28
194.10232762309673,19.2,0.0,0,0,10,55,4293543.564008911,0,29
210.51,19.2,0.0,0,0,10,55,4298524.479493849,0,30
234.6486891082332,19.2,0.0,0,0,10,55,4324985.726770372,0,31
225.36361439855398,19.2,0.0,0,0,9,55,4309365.695764942,0,32
187.676807199277,19.2,0.0,0,0,9,55,4367699.869444702,0,33
185.52752826002484,19.2,0.0,0,0,9,55,4351909.359555226,0,34
202.01691114456156,19.2,0.0,0,0,9,55,4359746.870431816,0,35
243.87,19.2,0.0,0,0,9,55,4380533.970950046,0,36
191.75,19.2,0.0,0,0,9,55,4351857.406749268,0,37
236.0,19.2,0.0,0,0,9,55,4383879.824797617,0,38
222.49,19.2,0.0,0,0,9,55,4365441.130938543,0,39
187.82,19.2,0.0,0,0,9,55,4397782.926071214,0,40
205.81,19.2,0.0,0,0,9,55,4387176.121647177,0,41
210.1,19.2,0.0,0,0,9,55,4396648.229933763,0,42
213.67000000000002,19.2,0.0,0,0,9,55,4422773.193082316,0,43
257.0498874525811,19.2,0.0,0,0,9,55,4392189.09874919,0,44
215.71977490516218,19.2,0.0,0,0,9,55,4443178.572446831,0,45
227.10227674078914,19.2,0.0,0,0,9,55,4392225.472966932,0,46
178.3278093357964,19.2,0.0,0,0,9,55,4451630.58501875,0,47
219.20076136109896,19.2,0.0,0,0,9,55,4378794.591835649,0,48
186.37685669320075,19.2,0.0,0,0,9,55,4458610.623452475,0,49
