pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,24.8,0.0,0,0,13,10,0.0,0.0,0
1244236.9349998154,8.0,0.0,0,0,13,10,975053.5707870731,380602.272329584,1
1188338.4044640288,8.0,-10.634588557450131,0,0,13,10,1575226.965428396,820457.2143455886,2
1080322.3014626382,8.0,-12.425006235738056,0,0,13,10,2067175.6574066079,943351.7382146519,3
1002181.1008040202,8.0,-9.098843652606003,0,0,13,10,2438825.352979642,987553.273727037,4
902765.9944952126,8.4,-8.111509382651604,0,0,13,10,3069923.818949823,1040607.0181291229,5
798745.3587998686,9.6,-9.452623172250895,0,0,13,10,3500489.5411567944,1090565.6076225217,6
727659.7372470814,10.0,-5.876023049626477,0,0,13,10,3934108.9028682266,1090565.6076225217,7
685387.9061422772,3.2,-3.3038552692715495,0,0,13,10,4502789.318862435,1121950.1573125557,8
635374.586516355,5.2,-4.252139129742893,0,0,13,10,5017808.282355912,1147861.3975428331,9
582291.079136302,6.0,-2.4543796545138274,0,0,12,10,4900553.817437201,1153032.300623935,10
532479.521453399,6.800000000000001,-1.143055401981341,0,0,12,10,4980992.843105287,1153032.300623935,11
487631.19065695273,8.0,-1.8175358255193674,0,0,12,10,4948108.962444211,1204822.1316763994,12
429439.03158788144,8.799999999999999,1.1197176138360465,0,0,12,10,4882347.741446971,1224345.2755728618,13
394321.17747227557,9.6,2.3227382208521608,0,0,12,10,4900025.45485894,1252989.897212694,14
350802.1979486738,4.8,1.7824216453515618,0,0,11,10,4938923.726507124,1262425.8394290423,15
328507.93786475394,7.199999999999999,4.975782479063473,0,0,11,10,4866494.478362769,1285033.6960562433,16
320106.7518509952,8.799999999999999,5.47131725886858,0,0,11,10,4901796.292983506,1291133.4848498763,17
309219.099782191,9.6,5.500091325728995,0,0,11,10,4888999.436555702,1290835.6470179544,18
301106.20046927745,4.8,8.023332050903864,0,0,10,10,4824987.252892411,1312485.1541786997,19
293832.43227978575,5.2,9.175417798594697,0,0,10,10,4818608.50223294,1314660.5188086566,20
289845.73072084447,7.6,8.274243623974375,0,0,10,10,4834436.03017628,1330048.8324812723,21
287919.072031902,8.4,11.395294128875054,0,0,10,10,4765618.299638976,1349118.7519435647,22
287912.1475674629,6.0,12.571766267455997,0,0,10,10,4767307.883427701,1352453.5828935327,23
289806.66494433116,7.6,11.53835673466228,0,0,9,10,4718139.9240731085,1359905.5188675213,24
291942.9184782364,9.2,14.543815737499788,0,0,9,55,4641794.701600454,1368232.4537306307,25
296704.21316475724,9.2,15.569998305300615,0,0,9,55,4546551.405246038,1387248.7504969356,26
301292.582078291,9.2,14.510720841514368,0,0,8,55,4504508.045833664,1383810.642976209,27
306983.08090685034,9.2,17.370130814840202,0,0,8,55,4461367.738402573,1415654.7018337646,28
314174.06879486225,9.2,18.257279578245168,0,0,8,55,4459067.829126799,1432432.6244879104,29
320105.3494251139,9.2,17.010562816855092,0,0,8,55,4429090.4334005965,1433363.6288745813,30
327817.01758276066,9.2,19.709081501185043,0,0,8,55,4348401.970562818,1424740.3093535057,31
336572.37635325437,9.2,20.36809706464542,0,0,8,55,4335358.595145007,1443969.1597860323,32
345471.65451233805,9.2,18.923108493461104,0,0,8,55,4344163.610869567,1434854.908963769,33
354138.0962122402,9.2,21.437927441074024,0,0,8,55,4308786.9883428775,1445268.234031593,34
364624.88087014423,9.2,21.920213140757163,0,0,8,55,4261460.275496542,1456989.6576348427,35
374890.8556588905,9.2,20.33849053548242,0,0,8,55,4197263.246595043,1456989.6576348427,36
384258.84459986154,9.2,22.65354241453117,0,0,8,55,4124196.962598528,1462740.6752305375,37
394336.2476580132,9.2,22.973656611349046,0,0,8,55,4180723.457544049,1467517.53881086,38
403180.0886390019,9.2,21.290611064033715,0,0,8,55,4207433.18471439,1475597.7187417115,39
411238.2966883709,9.2,23.472270044967857,0,0,8,55,4135920.0159366364,1481359.859072787,40
420720.85999275243,9.2,23.68775676473409,0,0,8,55,4061882.7309020218,1481359.859072787,41
430461.41608304635,9.2,21.966533052912695,0,0,8,55,4052603.993680102,1481359.859072787,42
439308.6785395341,9.2,24.01711671591642,0,0,8,55,4035477.9392770724,1484730.5346274234,43
449110.42109889246,9.2,24.153212224750796,0,0,8,55,4046499.1804699567,1484730.5346274234,44
458194.29336306365,9.2,22.379113737994306,0,0,8,55,4073225.2384027825,1504487.3061390186,45
467817.46190995106,9.2,24.36585184188642,0,0,8,55,4012934.1199044166,1516103.5570956785,46
478016.69760590105,9.2,24.45177103060665,0,0,8,55,3998650.9740110477,1519529.3745449518,47
487387.1699199319,9.2,22.63581776979553,0,0,8,55,4013843.5642686062,1526475.1906745895,48
496243.3530396822,9.2,24.586627791553205,0,0,8,55,3994522.9718192685,1526475.1906745895,49
