pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,26.0,0.0,0,0,13,10,0.0,0.0,0
1003671.9614497059,9.6,0.0,0,0,13,10,990256.6749868604,294714.91927682783,1
958536.309828658,9.6,-9.409368792685857,0,0,13,10,1596948.1254130933,856728.3160196256,2
875186.7986300981,9.6,-9.014205782468698,0,0,13,10,2125123.7523827176,983406.7107361672,3
811383.6191936149,9.6,-5.6341577820721795,0,0,12,10,2474262.582868549,1044281.5435887723,4
781059.2636253262,3.2,-3.001876757207278,0,0,12,10,3110543.8683691355,1059247.6445917292,5
705358.8644855636,3.5999999999999996,-4.462823158930074,0,0,12,10,3631446.908260412,1127639.8545664735,6
674908.9932202203,4.8,-1.2965152218327503,0,0,12,10,4049126.8711622087,1177498.7328728996,7
630704.4533771864,6.4,-0.55232405165343,0,0,12,10,4604921.444995793,1185898.0910701698,8
570892.7045672857,6.800000000000001,-4.426318796232498,0,0,10,10,4667761.255070304,1190221.9261765585,9
515121.42298674263,7.199999999999999,-2.598109499126411,0,0,10,10,4577329.221761253,1196298.0221166324,10
471941.80413520156,8.0,-0.5609105392745395,0,0,10,10,4678365.645465755,1211433.300367815,11
422989.689555464,8.4,-2.16649620619227,0,0,9,10,4695694.019343754,1227321.3008548983,12
388172.1134154863,2.4,1.2394693413265712,0,0,9,10,4654388.875342742,1239597.8803852831,13
359966.28596225526,2.8000000000000003,2.5652063286010662,0,0,9,10,4673196.068533659,1259635.9451461048,14
341045.956379276,5.2,2.2531516596619783,0,0,9,10,4761132.808764206,1264209.4475646087,15
313268.9349498741,6.800000000000001,5.145218212033265,0,0,8,10,4694378.747264079,1265700.4533479528,16
302938.1502038243,8.799999999999999,6.189265734591176,0,0,8,10,4741311.066867897,1268496.31672183,17
291774.6704766956,10.0,6.037591889018756,0,0,8,10,4750965.491371744,1284506.5897483171,18
285692.6306337481,4.0,9.078815170487587,0,0,8,10,4719289.905976281,1313071.2901266725,19
269886.39008252305,4.8,10.333923277943246,0,0,8,10,4674704.609097345,1318905.9613029882,20
269120.799870792,5.2,9.582667369656072,0,0,8,10,4720350.018226622,1326893.1884576655,21
270624.1317952958,6.4,12.95065568265219,0,0,8,10,4654089.271755255,1334768.5270027777,22
269696.5283533094,6.800000000000001,14.290241274714699,0,0,8,10,4645126.016168849,1344817.2213906322,23
273643.4332081628,7.199999999999999,13.45208739108379,0,0,8,10,4583958.118704004,1362399.8629104625,24
271241.01201791904,7.199999999999999,16.792405159163536,0,0,8,55,4546008.208410276,1356701.6789235102,25
277178.90214748017,7.199999999999999,18.07342577120925,0,0,8,55,4470526.647768169,1372983.4955579543,26
282587.8695184501,7.199999999999999,17.290663883471137,0,0,8,55,4476714.580103293,1372132.2390864366,27
288099.83671000064,7.199999999999999,20.441565468273957,0,0,8,55,4415565.887920893,1369659.765489972,28
295142.2764377202,7.199999999999999,21.609557830377568,0,0,8,55,4404413.520341353,1381856.5885716786,29
302401.7586348852,7.199999999999999,20.75846643702899,0,0,8,55,4371829.713792645,1396489.620215556,30
309468.4553361072,7.199999999999999,23.613888207955004,0,0,8,55,4302124.555505948,1402974.7236555154,31
316960.58176330454,7.199999999999999,24.517989128474117,0,0,8,55,4245193.480113629,1439755.100339308,32
324482.44201395795,7.199999999999999,23.541184071086718,0,0,8,55,4316501.059638008,1439755.100339308,33
331664.56435159844,7.199999999999999,26.05516799172447,0,0,8,55,4277303.401271187,1447395.0052580659,34
339853.3520984858,7.199999999999999,26.72276307862853,0,0,8,55,4235532.22772926,1456810.7811992525,35
348107.9357304357,7.199999999999999,25.55208405126921,0,0,8,55,4189444.9270353965,1456810.7811992525,36
358934.0381242205,7.199999999999999,27.82176628409423,0,0,8,55,4244683.618121822,1472843.0793026285,37
367152.91049118433,7.199999999999999,28.28876518384531,0,0,8,55,4237018.947839535,1521929.1362121243,38
370748.5566021496,7.199999999999999,27.02733085437494,0,0,8,55,4201810.092020749,1521929.1362121243,39
378631.88687489583,7.199999999999999,29.064257544117854,0,0,8,55,4178162.836775595,1521929.1362121243,40
387723.38809418696,7.199999999999999,29.39190517009751,0,0,8,55,4095318.129756904,1521929.1362121243,41
397416.4920090922,7.199999999999999,28.068522797666272,0,0,8,55,4068150.1111078267,1521929.1362121243,42
406526.2872496995,7.199999999999999,29.94216213458831,0,0,8,55,4107943.944190163,1521929.1362121243,43
416368.40664549463,7.199999999999999,30.17689115388922,0,0,8,55,4123533.534527377,1521929.1362121243,44
426566.00994537387,7.199999999999999,28.7998890408107,0,0,8,55,4086401.3176821982,1521929.1362121243,45
434759.22053925536,7.199999999999999,30.578296354759594,0,0,8,55,4064404.264471354,1524914.4503334118,46
441568.9817812593,7.199999999999999,30.75349963674494,0,0,8,55,4034795.804523282,1524914.4503334118,47
447013.60431442317,7.199999999999999,29.37431929826504,0,0,8,55,4022948.393695455,1524914.4503334118,48
451770.33379692375,7.199999999999999,31.061854337518312,0,0,8,55,4023998.153836543,1524914.4503334118,49
