pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,37.6,0.0,0,0,13,10,0.0,0,0
539.22,23.599999999999998,0.0,1,0,15,10,910004.4267161905,0,1
908.24,21.6,-18.82247721623861,0,0,17,10,1134434.182140401,0,2
370.66,18.8,0.0,0,0,19,10,1455623.2041012836,0,3
220.95,18.8,0.0,0,0,18,10,1796032.2472239225,0,4
641.93,19.2,0.0,0,0,18,10,2227823.0303229443,0,5
410.96000000000004,20.0,0.0,0,0,17,10,2579682.2450228506,0,6
187.19,20.0,0.0,0,0,16,10,3023671.0437265807,0,7
233.7,20.0,0.0,0,0,16,10,3366529.4932772154,0,8
246.38,20.0,0.0,0,0,15,10,3805573.4691445203,0,9
192.69,20.0,0.0,0,0,15,10,3778805.2409062646,0,10
189.79999999999998,20.0,0.0,0,0,15,10,3846556.160617673,0,11
267.88,20.0,0.0,0,0,15,10,3834804.613741771,0,12
235.62,20.0,0.0,0,0,15,10,3875914.3798316354,0,13
193.7,20.0,0.0,0,0,15,10,3862682.8257327527,0,14
246.51,20.0,0.0,0,0,15,10,3912014.9634074355,0,15
241.84,20.0,0.0,0,0,15,10,3891893.645869577,0,16
202.38,20.0,0.0,0,0,15,10,3937302.0183325214,0,17
201.6,20.0,0.0,0,0,15,10,3926500.406477591,0,18
221.31,20.0,0.0,0,0,15,10,3968141.8902184363,0,19
239.0,20.0,0.0,0,0,15,10,3942428.7702511307,0,20
197.13046276459082,20.0,0.0,0,0,15,10,3973103.296822767,0,21
194.2801156911477,20.0,0.0,0,0,14,10,3995877.8689894085,0,22
235.25034707344312,20.0,0.0,0,0,14,10,3981895.300630967,0,23
183.0802313822954,20.0,0.0,0,0,11,10,4043758.4653602117,0,24
202.79023138229542,20.0,0.0,0,0,11,55,3983049.8799649538,0,25
144.49332726559348,20.0,0.0,0,0,10,55,3988116.9127996936,0,26
215.17666363279673,20.0,0.0,0,0,10,55,3954259.4684842383,0,27
153.50666363279674,20.0,0.0,0,0,10,55,3977338.383766672,0,28
169.49666363279675,20.0,0.0,0,0,10,55,4002256.2311602873,0,29
154.4533272655935,20.0,0.0,0,0,10,55,3996198.1807562583,0,30
140.1999908983902,20.0,0.0,0,0,10,55,4035896.311645734,0,31
138.18999089839022,20.0,0.0,0,0,10,55,4013799.295525416,0,32
149.22332726559347,20.0,0.0,0,0,10,55,4069279.5384367243,0,33
162.53999089839022,20.0,0.0,0,0,10,55,4024699.475328896,0,34
185.3133181639837,20.0,0.0,0,0,10,55,4081615.6278293803,0,35
160.35666363279674,20.0,0.0,0,0,10,55,4058091.133806486,0,36
180.37666363279675,20.0,0.0,0,0,10,55,4086195.806010375,0,37
167.94666363279674,20.0,0.0,0,0,10,55,4061264.3691235418,0,38
117.37,20.0,0.0,0,0,10,55,4095106.1977931596,0,39
148.25631676589677,20.0,0.0,0,0,10,55,4082647.372346567,0,40
178.84749124152384,20.0,0.0,0,0,10,55,4091735.062201441,0,41
152.40087784393117,20.0,0.0,0,0,10,55,4107551.8401452843,0,42
124.82646508174471,20.0,0.0,0,0,10,55,4095317.296343285,0,43
127.59380800742059,20.0,0.0,0,0,10,55,4126199.2084366796,0,44
156.2754389219656,20.0,0.0,0,0,10,55,4101841.4213140826,0,45
133.75087784393116,20.0,0.0,0,0,10,55,4140914.9828933044,0,46
208.50646508174472,20.0,0.0,0,0,10,55,4124302.705233453,0,47
163.69293700677616,20.0,0.0,0,0,10,55,4132725.319879957,0,48
197.72769062479958,20.0,0.0,0,0,10,55,4128140.137707252,0,49
