pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,29.2,0.0,0,0,13,10,0.0,0,0
1285.7,18.4,0.0,1,0,15,10,937781.7465974974,0,1
1399.92,18.4,28.230474178403743,0,0,15,10,1304545.8919189796,0,2
745.98,18.4,0.0,0,0,15,10,1713963.079361876,0,3
750.05,18.4,0.0,0,0,15,10,2113900.9591741227,0,4
711.46,19.2,0.0,0,0,15,10,2494195.818187802,0,5
736.9499999999999,20.0,0.0,0,0,15,10,2917083.971973732,0,6
1807.05,20.4,0.0,0,0,16,10,3004995.9326693164,0,7
533.74,20.4,0.0,0,0,18,10,3125845.8327961722,0,8
496.62,18.4,0.0,0,0,20,10,3199442.503131878,0,9
466.61,18.4,0.0,0,0,20,10,3608930.286715902,0,10
392.4147060427771,18.4,0.0,0,0,19,10,4005575.2328846958,0,11
344.39,18.4,0.0,0,0,18,10,4419956.258917233,0,12
381.69,18.4,0.0,0,0,16,10,4810002.641362185,0,13
2318.36,18.4,0.0,0,0,15,10,4755768.638282573,0,14
322.95,18.4,0.0,0,0,14,10,4677793.858133169,0,15
398.65,18.4,0.0,0,0,14,10,5092045.028546521,0,16
353.77,18.4,0.0,0,0,14,10,5498719.5461479705,0,17
346.75,18.4,0.0,0,0,13,10,5911646.181874809,0,18
315.49,18.4,0.0,0,0,13,10,6335405.420438746,0,19
378.9,18.4,0.0,0,0,13,10,6728370.287556677,0,20
360.58,18.4,0.0,0,0,12,10,7165330.068578125,0,21
352.29,18.4,0.0,0,0,12,10,7565872.649622724,0,22
441.49,18.4,0.0,0,0,12,10,7999586.557045807,0,23
398.47,18.4,0.0,0,0,12,10,8423494.884800764,0,24
453.01,18.4,0.0,0,0,12,55,8830945.684948422,0,25
424.71,18.4,0.0,0,0,12,55,9267669.57400423,0,26
399.73,18.4,0.0,0,0,12,55,8754239.93686671,0,27
467.15999999999997,18.4,0.0,0,0,12,55,8310204.800263271,0,28
373.24,18.4,0.0,0,0,11,55,8710812.291552909,0,29
419.02,18.4,0.0,0,0,11,55,9160998.300783047,0,30
419.12,18.4,0.0,0,0,11,55,8646671.089806529,0,31
444.8,18.4,0.0,0,0,11,55,8238835.344522669,0,32
494.27,18.4,0.0,0,0,10,55,7801210.292863142,0,33
445.54,18.4,0.0,0,0,10,55,7478610.547569772,0,34
408.05,18.4,0.0,0,0,10,55,7125137.486816287,0,35
424.71,18.4,0.0,0,0,10,55,6845870.017061134,0,36
423.57,18.4,0.0,0,0,10,55,6606030.889998004,0,37
464.85,18.4,0.0,0,0,10,55,6336229.630160398,0,38
398.12,18.4,0.0,0,0,10,55,6169524.519490433,0,39
452.92,18.4,0.0,0,0,10,55,5913133.691739831,0,40
441.17,18.4,0.0,0,0,10,55,5813713.2884133775,0,41
435.0423074698876,18.4,0.0,0,0,10,55,5591265.075231094,0,42
520.77,18.4,0.0,0,0,10,55,5513318.340938837,0,43
437.36,18.4,0.0,0,0,10,55,5318366.295362403,0,44
413.7348366636996,18.4,0.0,0,0,10,55,5256543.531648413,0,45
471.00185551315747,18.4,0.0,0,0,10,55,5120584.571076009,0,46
464.8570143325943,18.4,0.0,0,0,10,55,5047719.544153611,0,47
479.45,18.4,0.0,0,0,10,55,4937868.936887932,0,48
384.3480545452933,18.4,0.0,0,0,10,55,4901190.846959936,0,49
